Video_ID,Username,Tanggal,Komentar
9-poYwCZxDQ,@GadgetIn,2025-09-22T00:59:23Z,"Timestamp:
00:00 iPhone 17 SERIES! +pajak
01:15 Unboxing iPhone 17
03:00 IJO MAHAL
06:10 Saya suka Sage
07:05 Aksesoris cakep buat iPhone 17
09:35 Akhirnya ya, 120Hz & iOS 26!!!
12:45 Gini doang HEPI
14:10 vs iPhone 16
15:10 Bezel lebih TIPIS
15:35 Kamera selfie yang bagus?
17:30 Material + sampel foto
18:40 iPhone 17 PRO!
19:40 Orangenya agak...
21:50 Desain Tom & Jerry
24:30 Casing yang bikin salah paham
26:20 Kamera versus iPhone 16 Pro"
9-poYwCZxDQ,@ikhsanaz2011,2026-03-30T07:15:01Z,Alhamdulillah Nonton review ini pake IP 17 basic. Puas banget buat Daily
9-poYwCZxDQ,@altarsays276,2026-03-29T11:49:29Z,"Bismillah semoga bisa kebeli untuk kado istri yang mau melahirkan di bulan Juni 2026, doain gengss❤❤❤"
9-poYwCZxDQ,@aamirdhen2549,2026-03-29T10:12:45Z,"Up mahal doang kt bang David design y dari zaman purba kek gitu2 ajh 🤣 
Bagusan Samsung s26 ultra"
9-poYwCZxDQ,@arumluphytax6413,2026-03-29T08:17:56Z,"saran dong guys..Jadi mending mana, 16pm atau 17pm"
9-poYwCZxDQ,@albertmantende4775,2026-03-28T07:43:52Z,bang ijin tanya oppo renno 15 pro vs iphone 16 bgus mana?
9-poYwCZxDQ,@indrakenzie7944,2026-03-26T06:40:13Z,"kenapa model ip 17 promax model nya terlalu norak ya,kyk hp mainan orange pulak kyk mainan anak² ,udah norak mahal pula najis"
9-poYwCZxDQ,@KingHendri-l2q9f,2026-03-24T02:39:16Z,"Bajaj
Pasukan kebersihan
Kang parkir
Warnanya juga orange bro😁"
9-poYwCZxDQ,@didietrisyaapriani,2026-03-23T15:54:14Z,"Beli iPhone 17promax Ko sy ada stiker Made in china ya padahal beli di iBox resmi ,"
9-poYwCZxDQ,@amexchannel5052,2026-03-23T11:13:14Z,Flashback nokia xpress music ..full alumunium ..
9-poYwCZxDQ,@echakhumaedi7657,2026-03-22T18:03:57Z,"semakin ragu mau beli 17promax / samsung s26 ultra 😮😮😮😮 ini baru pertama kali mau pake ip, minta saran dong guyss"
9-poYwCZxDQ,@lifeisbeautifulfr,2026-03-22T04:37:06Z,"1:31 ""bisa langsung ke time stamp aja ya, manfaatin fiturnya""

See? Betapa humble nya Abang kita yang satu ini 

Terima kasih banyak Bang David, kebetulan difase pertimbangan mau beli iPhone 17 atau hold dulu dan stay di Samsung

Terus berkarya Bang!"
9-poYwCZxDQ,@faisalsolois...7546,2026-03-18T07:58:49Z,Saya udah punya...
9-poYwCZxDQ,@polodraft505,2026-03-12T21:30:51Z,👍
9-poYwCZxDQ,@MBagusHafidziii,2026-03-01T15:42:29Z,ip 17 emg gbs make sim card fisik ya?
9-poYwCZxDQ,@Mangcihuy-p6m,2026-02-27T14:02:32Z,3:15 ijo miskin 🗿
9-poYwCZxDQ,@cahayamandiriexpressadmin,2026-02-16T08:54:33Z,"Serius tanya, barang2 tersebut kalau sudah di riview di kemanakan? Di jual lagi atau di pake sendiri?"
9-poYwCZxDQ,@mamaekantor,2026-02-16T07:27:53Z,Sage sagu
9-poYwCZxDQ,@mamaekantor,2026-02-16T07:25:51Z,Seri 17 pro/promax yang harganya paling mahal warna cosmic oranye atau silver koh?
9-poYwCZxDQ,@mbahwahab8565,2026-02-13T04:53:40Z,Apa² dipajak..tapi feedback ke rakyat gak ada..
9-poYwCZxDQ,@NonMercy-k4v,2026-02-12T11:56:13Z,Layar mini gak jadi beli ah
9-poYwCZxDQ,@Magicchessthegame,2026-02-12T09:35:11Z,Kuning kayak Poco poco
9-poYwCZxDQ,@morabaek862,2026-02-10T19:17:25Z,Nontom riview menggunakan iphone 17 promax 512gb 😇
9-poYwCZxDQ,@MitaRia-jl2ks,2026-02-04T09:51:57Z,Bisa2 nya aku tonton video ini dg isi saldo rekening gak cukup buat beli 😅
9-poYwCZxDQ,@ryudentsu2,2026-02-03T01:53:18Z,Coba nubia v80 design bang 😊
9-poYwCZxDQ,@xpmixchannel,2026-02-02T23:31:04Z,"Hp puluhann juta kok berasa B aja ya
berasa pke kamera 3jtaan
Iphone jdi berasa identitas hp prrmium aja nma nya
Justru sya lebih enjoy dgn hasil kamera 3jtaan sperti infinix note 50 pro
(Dalam foto wajar sprri selfie atau video)
Mukin kalo hasil kamera iphone layaknya sperri hasil kamera DSLR /mirorless,sy rrkomend drh bwt pke iphone
Ksimpulan nya
Klo hp puluhan juta ksh hasil ssma sprri hp 3jtaan
Yah jwbnya lbwt apa iphone
Tetinksh atas pencerahan review nya
smga ug kmrrn bli iphone 17 gk nangis krna nyesel dibohongin marketing iphone hehehe"
9-poYwCZxDQ,@daveorlando9896,2026-01-29T15:44:19Z,watching this video with my iphone 17pro blue cash 😭
9-poYwCZxDQ,@32.yehezkielRichardoThiofilus,2026-01-28T22:31:25Z,ip 17 pro bisa dipasang sim card fisik nggak
9-poYwCZxDQ,@ajengyunisa7768,2026-01-28T09:38:03Z,Mending 16pro apa 17 basic yaa
9-poYwCZxDQ,@kopral_tani,2026-01-27T17:32:17Z,"Kalau untuk bergaya iphone sama samsung memang menang.
Lihat Mas.Didit Prabowo,hp iphone masih type lama,padahal dia bisa beli type iphone terbaru segudang.
Pelajar kalau ga pake iphone khususnya siswi smp-sma dan anak kuliah dia sangat gengsi,ujung2nya minta emak-babeh.
Iphone simbol khas dari Generasi Z."
9-poYwCZxDQ,@Moto-melove,2026-01-23T03:47:24Z,"nunggu secondnya, siapa tau ada yg jual 25rb 😂😂"
9-poYwCZxDQ,@slsnf4120,2026-01-22T20:00:57Z,HAHAHAHA 17:30
9-poYwCZxDQ,@Widyaayu로그,2026-01-22T04:40:58Z,Jadi mending iphone 17promax atau Samsung Fold 7 guys?
9-poYwCZxDQ,@Eaudegimik,2026-01-22T04:04:22Z,Adooooh kameranya trnyata lbh bagus 16 pro
9-poYwCZxDQ,@dandiardian-i9y,2026-01-19T11:00:13Z,Mz
9-poYwCZxDQ,@masrukhanukhan2045,2026-01-18T13:47:35Z,74 balasan
9-poYwCZxDQ,@Cheesse200,2026-01-14T08:00:17Z,"Saran dong, aku baru beli ip 17 ni"
9-poYwCZxDQ,@Undi-k2f2b,2026-01-07T01:47:02Z,Kk review ip 17 mini
9-poYwCZxDQ,@M.H.B_90,2026-01-06T16:38:20Z,"Gue baru beli diakhir tahun kemarin. Buta bgt soal iphone 17. Datang ke toko, bilang mau iphone 17. Tadinya mau yg putih, tp adanya yg sage, cakep jg. Setelah beli baru liat review 😂"
9-poYwCZxDQ,@CeritaZehan20,2026-01-06T03:50:21Z,Malah seperti hp mainan 😂😂
9-poYwCZxDQ,@Adesari02,2026-01-06T01:28:40Z,"Aku mau beli yg sage jd mastiin dulu liat video ini, oh sage emg kalem warnanya fix sih beli sage aja 😂 apple koq bisa2nya promax dikasi wrn gonjreng bikin sakit mata😢 malah bagus2 wrn yg 17 basic daripada yg pro-promax nya 😂"
9-poYwCZxDQ,@zendratonga,2026-01-06T01:13:44Z,Yang 17 promax kok ndak buat konten
9-poYwCZxDQ,@amalik2554,2026-01-04T22:56:12Z,Bentuk sama warna nya kek gameboat yg sering gua maenin pas kecil😂
9-poYwCZxDQ,@Sutana-id8qh,2026-01-04T13:50:47Z,Ip 17 pake charger 30 watt boleh ga yaa ?
9-poYwCZxDQ,@甘いみかん-e9n,2025-12-30T07:50:22Z,Warna orange sony ericsson walkman series 🙈
9-poYwCZxDQ,@krisnaartandinteriorentert007,2025-12-30T00:11:38Z,Cuma bisa pengen doang belum mampu beli 🥲
9-poYwCZxDQ,@fahrizalsyahdan0234,2025-12-29T10:19:47Z,Bang bahas iPhone air dong
9-poYwCZxDQ,@72054589,2025-12-27T09:00:55Z,"IPhone 17 pro max aslih, gak menarik"
9-poYwCZxDQ,@wiwid_green,2025-12-27T06:36:54Z,"Biasanya gak tertarik sama iPhone, tp karena suka warna ijo kok ya jadi tertarik karena warnanya... Tp mikir lg😅. Ini ato emas 😅🤦."
9-poYwCZxDQ,@raffelahmat5533,2025-12-26T15:16:45Z,Harga mehong apa sih yg di jual
9-poYwCZxDQ,@UCHIHA-NABZZ,2025-12-26T08:03:18Z,Aku yng pake Infinix aja 50 mp
9-poYwCZxDQ,@danw4279,2025-12-26T04:49:42Z,Pro resnya ga nyala bang
9-poYwCZxDQ,@BadSaves,2025-12-25T09:02:02Z,"aaaaa bingung mau 17 apa 17 pro, tapi kok 17 pro aga yellow ya kameranya? apa karena layarnya??"
9-poYwCZxDQ,@dandiardian-i9y,2025-12-25T07:16:38Z,Mz
9-poYwCZxDQ,@Jiejiell,2025-12-25T03:06:18Z,Mening hp ijo yg itu kasih aku bang🙇🏻‍♀️🙇🏻‍♀️
9-poYwCZxDQ,@yumecintaameterasu8876,2025-12-24T13:56:27Z,kalau hp buatan cina itu cpt rusak
9-poYwCZxDQ,@victormangarek3003,2025-12-23T05:47:34Z,ip17 basic alternatif  setara dengan hp android apa ? ada saran ?
9-poYwCZxDQ,@dhiafasyakirin8929,2025-12-23T02:01:19Z,Ijo Sage Best yaqin
9-poYwCZxDQ,@KembangTrotoar,2025-12-22T23:39:20Z,"udah dua kali pake ip dari 12 14 smpe kini udah agak bosan sebab layar nya masih ada tompel belum berubah dari jaman dulu ,sedangkan merk lain udah full screen ,bahkan ada hp baru yg kamera depan tidak kelihatan alias sembunyi dibalik layar"
9-poYwCZxDQ,@dress2feelpretty,2025-12-22T17:54:42Z,Harga iphone 17 di indonesia berapa ya?
9-poYwCZxDQ,@ninooroffice5394,2025-12-21T05:14:09Z,Wishlist bgt.. bentar lgi ultah.. please ad yg kasih ini Hp😊
9-poYwCZxDQ,@muharif2258,2025-12-16T09:12:15Z,Tutor live ganda di facebook pakai 17 basic
9-poYwCZxDQ,@lindhayanthi2023,2025-12-15T16:08:59Z,Kan dia review hp yah trus klo udah di review apakah akan di jual atau gimna(bertanya dg soft spoken)
9-poYwCZxDQ,@mlhedon,2025-12-15T10:59:37Z,speaker pindah ke kiri🥹🥹
9-poYwCZxDQ,@messijuli778,2025-12-15T02:08:16Z,Pajak Rp: suka2
9-poYwCZxDQ,@wire157,2025-12-14T12:38:56Z,Sebagai penggemar zoom di iphone pro saya kok gak yakin hasil 17 pro😢😢
9-poYwCZxDQ,@uta_utari,2025-12-12T07:31:50Z,"Bagusan warna biru njer,menarik sih semoga bisa kebeli deh."
9-poYwCZxDQ,@annasetia4,2025-12-11T15:15:54Z,Ko kameranya bagusan 16 pro
9-poYwCZxDQ,@DsafraaaVerdi,2025-12-10T02:57:22Z,BG bagi dong IP 17 nyaa gua udah subscribe ❤❤
9-poYwCZxDQ,@NurKhalid-d3t,2025-12-09T12:36:12Z,Saya mau bang
9-poYwCZxDQ,@NurKhalid-d3t,2025-12-09T12:36:12Z,Saya mau bang
9-poYwCZxDQ,@mekshaaqlate673,2025-12-09T12:22:53Z,Keren.. tapi jelek amat warna nya. terang menerang 😂
9-poYwCZxDQ,@sriindah5046,2025-12-08T22:00:17Z,Fitur biasa jd luar bisa ketika ip yg punya wkwkwkwkwk
9-poYwCZxDQ,@elismansitumorang9454,2025-12-08T19:19:39Z,"Aku udah lama nunggu iPhone terbaik, tapi nunggunya yang subsidi aja KLO ada nanti
😂😂😂😂😂"
9-poYwCZxDQ,@adamsyahril2190,2025-12-08T11:27:22Z,"Saran dong, mending iPhone 17 reguler, apa iPhone 16 pro nambah 300-400rb??"
9-poYwCZxDQ,@FitriYani-jb5vb,2025-12-07T19:33:21Z,Makin sini kok makin pelit sih si iPhone
9-poYwCZxDQ,@madelouies24-k7m,2025-12-07T12:22:27Z,Kapan di riview bang iPhone nya ?
9-poYwCZxDQ,@aldinurhafidz7141,2025-12-06T10:09:07Z,Nunggu iPhone 20 Aja Nanggung
