Username,Tanggal,Komentar,Aspek,Sentimen
@Moto-melove,2026-01-23T03:47:24Z,"nunggu secondnya, siapa tau ada yg jual 25rb 😂😂",Umum,Netral
@Widyaayu로그,2026-01-22T04:40:58Z,Jadi mending iphone 17promax atau Samsung Fold 7 guys?,Umum,Netral
@Eaudegimik,2026-01-22T04:04:22Z,Adooooh kameranya trnyata lbh bagus 16 pro,Kamera,Positif
@Cheesse200,2026-01-14T08:00:17Z,"Saran dong, aku baru beli ip 17 ni",Umum,Netral
@Undi-k2f2b,2026-01-07T01:47:02Z,Kk review ip 17 mini,Umum,Netral
@M.H.B_90,2026-01-06T16:38:20Z,"Gue baru beli diakhir tahun kemarin. Buta bgt soal iphone 17. Datang ke toko, bilang mau iphone 17. Tadinya mau yg putih, tp adanya yg sage, cakep jg. Setelah beli baru liat review 😂",Umum,Netral
@CeritaZehan20,2026-01-06T03:50:21Z,Malah seperti hp mainan 😂😂,Umum,Netral
@Adesari02,2026-01-06T01:28:40Z,"Aku mau beli yg sage jd mastiin dulu liat video ini, oh sage emg kalem warnanya fix sih beli sage aja 😂 apple koq bisa2nya promax dikasi wrn gonjreng bikin sakit mata😢 malah bagus2 wrn yg 17 basic daripada yg pro-promax nya 😂",Kamera,Positif
@zendratonga,2026-01-06T01:13:44Z,Yang 17 promax kok ndak buat konten,Umum,Netral
@amalik2554,2026-01-04T22:56:12Z,Bentuk sama warna nya kek gameboat yg sering gua maenin pas kecil😂,Desain,Netral
@Sutana-id8qh,2026-01-04T13:50:47Z,Ip 17 pake charger 30 watt boleh ga yaa ?,Umum,Netral
@甘いみかん-e9n,2025-12-30T07:50:22Z,Warna orange sony ericsson walkman series 🙈,Desain,Netral
@krisnaartandinteriorentert007,2025-12-30T00:11:38Z,Cuma bisa pengen doang belum mampu beli 🥲,Umum,Netral
@fahrizalsyahdan0234,2025-12-29T10:19:47Z,Bang bahas iPhone air dong,Umum,Netral
@72054589,2025-12-27T09:00:55Z,"IPhone 17 pro max aslih, gak menarik",Umum,Netral
@wiwid_green,2025-12-27T06:36:54Z,"Biasanya gak tertarik sama iPhone, tp karena suka warna ijo kok ya jadi tertarik karena warnanya... Tp mikir lg😅. Ini ato emas 😅🤦.",Desain,Positif
@raffelahmat5533,2025-12-26T15:16:45Z,Harga mehong apa sih yg di jual,Harga,Netral
@UCHIHA-NABZZ,2025-12-26T08:03:18Z,Aku yng pake Infinix aja 50 mp,Umum,Netral
@danw4279,2025-12-26T04:49:42Z,Pro resnya ga nyala bang,Umum,Netral
@BadSaves,2025-12-25T09:02:02Z,"aaaaa bingung mau 17 apa 17 pro, tapi kok 17 pro aga yellow ya kameranya? apa karena layarnya??",Kamera,Netral
