slang,formal
butut,jelek
ampas,jelek
apaan,apa
payah,jelek
parah,jelek
zonk,jelek
sampah,jelek
ancur,jelek
hancur,jelek
norak,jelek
murahan,murah
receh,murah
kemahalan,mahal
ngelag,lambat
lag,lambat
patah,rusak
retak,rusak
baret,rusak
melet,rusak
bocor,rusak
jeblok,jelek
ecek,murah
abal,jelek
kw,jelek
palsu,jelek
lelet,lambat
ngehang,hang
hang,rusak
freeze,rusak
ngefreeze,rusak
boros,boros
dropin,turun
drop,turun
ngedrop,turun
lowbat,baterai habis
lowbet,baterai habis
kapasitas,kapasitas
rese,menyebalkan
nyebelin,menyebalkan
ribet,susah
susah,susah
sulit,sulit
kecewa,kecewa
menyesal,kecewa
nyesel,kecewa
rugi,rugi
ketipu,tertipu
tipu,tipu
bohong,tidak jujur
php,mengecewakan
zonk,mengecewakan
gampang,mudah
enteng,ringan
tipis,tipis
mulus,mulus
canggih,canggih
kinclong,bagus
kece,bagus
josss,bagus
goks,bagus
gokil,bagus
waw,bagus
wow,bagus
nampol,bagus
pol,sangat
bener,benar
beneran,benar
jujur,jujur
recommended,direkomendasikan
rekom,direkomendasikan
worth,sebanding
worthit,sebanding
cucok,cocok
cucuk,cocok
sesuai,sesuai
irit,hemat
awet,tahan lama
tahan,tahan lama
bandel,tahan lama
anti,tahan
anti air,tahan air
kamera depan,kamera depan
kamera belakang,kamera belakang
selfie,selfie
foto,foto
gaming,bermain game
game,game
nge-game,bermain game
ngegame,bermain game
murahan,jelek
plastikan,jelek
ringkih,jelek
rapuh,jelek
kopong,jelek
kampungan,jelek
jadul,jelek
kuno,jelek
norak,jelek
kelas bawah,jelek
kelas rendah,jelek
spek rendah,jelek
spek jelek,jelek
tidak premium,jelek
kurang premium,jelek
terkesan murah,jelek
