frasa_asli,frasa_ganti
jual ginjal,sangat mahal
1 jam udah abis,boros jelek
sejam udah abis,boros jelek
gaya doang,jelek
burik,jelek
busuk,jelek
misquen,mahal
miskin,mahal
bapuk,jelek
setrika,panas jelek
jual rumah,sangat mahal
bisa buat goreng telor,panas jelek
cocok buat masak air,panas jelek
kayak dispenser,panas jelek
anget banget,panas jelek
kenceng banget lemotnya,sangat lambat
cepet banget kayak siput,sangat lambat
lemotnya juara,sangat lambat
ngelag parah,sangat lambat
awet kalo hpnya dimatiin,boros jelek
awet dari hongkong,boros jelek
harus nempel tembok terus,boros jelek
temenan sama colokan,boros jelek
sehari cas 3 kali,boros jelek
batre gampang bocor,boros jelek
jernih banget kayak air keruh,jelek
bagus buat foto hantu,jelek
kamera setara vga,jelek
hasil foto kayak hp esia,jelek
muka jadi kotak,jelek
harganya bikin nangis,sangat mahal
murah cuma seharga motor,sangat mahal
ramah di kantong pejabat,sangat mahal
ramah di kantong konglomerat,sangat mahal
bikin puasa setahun,sangat mahal
ginjal cuma dua,sangat mahal
mending rakit pc,jelek
mending beli motor,sangat mahal
bagus buat ganjel pintu,jelek
cuma menang logo,jelek
jual logo doang,sangat mahal
inovasi mentok,jelek
desain purba,jelek
desain zaman batu,jelek
desain gitu gitu aja,jelek
gaya elite ekonomi sulit,sangat mahal
bagus sih tapi boong,jelek
harganya gak ngotak,sangat mahal
bikin dompet jebol,sangat mahal
hape gaib,jelek
kentang,jelek
kurang ngopi,jelek
